Username,Image,About,Likes,Followers,Following,Posts,Average engagement
shamima_afrinomi,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/38f9ba457fb741978c3356859ee7a0ff~c5_100x100.jpeg?x-expires=1668445200&x-signature=Ahj%2Bv8n2S07G8wm0Wl30kx%2BrEQM%3D,Exclusively managed by glee Digital Do subscribe my YouTube,365.1M,10.6M,155,"['https://www.tiktok.com/@shamima_afrinomi/video/7165174995310611739', 'https://www.tiktok.com/@shamima_afrinomi/video/7165156125204122907', 'https://www.tiktok.com/@shamima_afrinomi/video/7165155435257924891', 'https://www.tiktok.com/@shamima_afrinomi/video/7165154647680781595', 'https://www.tiktok.com/@shamima_afrinomi/video/7165119736332684571', 'https://www.tiktok.com/@shamima_afrinomi/video/7165119299378482458', 'https://www.tiktok.com/@shamima_afrinomi/video/7165077312894012699', 'https://www.tiktok.com/@shamima_afrinomi/video/7165033435478723867', 'https://www.tiktok.com/@shamima_afrinomi/video/7165031025469377819', 'https://www.tiktok.com/@shamima_afrinomi/video/7165018954027617563', 'https://www.tiktok.com/@shamima_afrinomi/video/7165008851652136219', 'https://www.tiktok.com/@shamima_afrinomi/video/7164776804799057178', 'https://www.tiktok.com/@shamima_afrinomi/video/7164774557654535450', 'https://www.tiktok.com/@shamima_afrinomi/video/7164661494292942107', 'https://www.tiktok.com/@shamima_afrinomi/video/7164642208283430170', 'https://www.tiktok.com/@shamima_afrinomi/video/7164640970229714202']",1358.69K
noureenafrosepiya22,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7ebbea9837780dc41196b54d3642b351~c5_100x100.jpeg?x-expires=1668445200&x-signature=0aPjayc6QVgebeLLItnbHRnhZCk%3D,Exclusively managed by glee digital New YouTube video link,194.9M,6.3M,21,"['https://www.tiktok.com/@noureenafrosepiya22/video/7165158497804455194', 'https://www.tiktok.com/@noureenafrosepiya22/video/7165141755124272411', 'https://www.tiktok.com/@noureenafrosepiya22/video/7165129563528318234', 'https://www.tiktok.com/@noureenafrosepiya22/video/7165068132854402330', 'https://www.tiktok.com/@noureenafrosepiya22/video/7164826697307589914', 'https://www.tiktok.com/@noureenafrosepiya22/video/7164826312220118299', 'https://www.tiktok.com/@noureenafrosepiya22/video/7164824954960088347', 'https://www.tiktok.com/@noureenafrosepiya22/video/7164763234447265050', 'https://www.tiktok.com/@noureenafrosepiya22/video/7164751699964513562', 'https://www.tiktok.com/@noureenafrosepiya22/video/7164395781896572186', 'https://www.tiktok.com/@noureenafrosepiya22/video/7164014952129334554', 'https://www.tiktok.com/@noureenafrosepiya22/video/7163976076887182618', 'https://www.tiktok.com/@noureenafrosepiya22/video/7163946650904448282', 'https://www.tiktok.com/@noureenafrosepiya22/video/7163899004986690843', 'https://www.tiktok.com/@noureenafrosepiya22/video/7163637525746076955', 'https://www.tiktok.com/@noureenafrosepiya22/video/7163620070193761563']",2039.81K
amdadul_10,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/b6ae6c4841ebec5e49a1fa7e711e9837~c5_100x100.jpeg?x-expires=1668445200&x-signature=YqrK%2F7DS1G43r3HSyf3s%2BECKFXg%3D,Exclusively managed by glee digital,223.2M,5.5M,73,"['https://www.tiktok.com/@amdadul_10/video/7165132697268981019', 'https://www.tiktok.com/@amdadul_10/video/7165121487396015387', 'https://www.tiktok.com/@amdadul_10/video/7164732720998780186', 'https://www.tiktok.com/@amdadul_10/video/7164664079649393946', 'https://www.tiktok.com/@amdadul_10/video/7164374706391502107', 'https://www.tiktok.com/@amdadul_10/video/7164322983979355418', 'https://www.tiktok.com/@amdadul_10/video/7164270374992006427', 'https://www.tiktok.com/@amdadul_10/video/7164003047180340506', 'https://www.tiktok.com/@amdadul_10/video/7163626165091994907', 'https://www.tiktok.com/@amdadul_10/video/7163583164005272858', 'https://www.tiktok.com/@amdadul_10/video/7163507628461526298', 'https://www.tiktok.com/@amdadul_10/video/7163293258104212763', 'https://www.tiktok.com/@amdadul_10/video/7163264616443677978', 'https://www.tiktok.com/@amdadul_10/video/7162817988087794970', 'https://www.tiktok.com/@amdadul_10/video/7162509667560639771', 'https://www.tiktok.com/@amdadul_10/video/7162391643776142619']",3879.38K
manikmia620,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e7fedc3c0bb151ecf60c68d2eccc88e0~c5_100x100.jpeg?x-expires=1668445200&x-signature=orim8xdpgzd7q7ojXxeBjhjlZxQ%3D,No bio yet,304.9M,8.8M,40,"['https://www.tiktok.com/@manikmia620/video/7165119251865537794', 'https://www.tiktok.com/@manikmia620/video/7165119099218005249', 'https://www.tiktok.com/@manikmia620/video/7165118941247900929', 'https://www.tiktok.com/@manikmia620/video/7165103288935828737', 'https://www.tiktok.com/@manikmia620/video/7165081133888163074', 'https://www.tiktok.com/@manikmia620/video/7165080779272228098', 'https://www.tiktok.com/@manikmia620/video/7165062438675565825', 'https://www.tiktok.com/@manikmia620/video/7165062086039555330', 'https://www.tiktok.com/@manikmia620/video/7165046219402775810', 'https://www.tiktok.com/@manikmia620/video/7165024237940378881', 'https://www.tiktok.com/@manikmia620/video/7164396002542095617', 'https://www.tiktok.com/@manikmia620/video/7164381505509231874', 'https://www.tiktok.com/@manikmia620/video/7164361026287258881', 'https://www.tiktok.com/@manikmia620/video/7164360929260391682', 'https://www.tiktok.com/@manikmia620/video/7164341949321809153', 'https://www.tiktok.com/@manikmia620/video/7164328252557823234', 'https://www.tiktok.com/@manikmia620/video/7164328038706973953', 'https://www.tiktok.com/@manikmia620/video/7164284517115612418', 'https://www.tiktok.com/@manikmia620/video/7164284350140321025', 'https://www.tiktok.com/@manikmia620/video/7164034981298326786', 'https://www.tiktok.com/@manikmia620/video/7164026756289072385', 'https://www.tiktok.com/@manikmia620/video/7164011359347199234', 'https://www.tiktok.com/@manikmia620/video/7163986792004226306', 'https://www.tiktok.com/@manikmia620/video/7163972112250637569', 'https://www.tiktok.com/@manikmia620/video/7163953948448083201', 'https://www.tiktok.com/@manikmia620/video/7163937424312143106', 'https://www.tiktok.com/@manikmia620/video/7163904898055130370', 'https://www.tiktok.com/@manikmia620/video/7163635220229393666', 'https://www.tiktok.com/@manikmia620/video/7163635135848467713', 'https://www.tiktok.com/@manikmia620/video/7163635052587371778']",2511.07K
samirakhanmahi,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/5b6d4310cac49d2963f4a93f23c5d2a9~c5_100x100.jpeg?x-expires=1668445200&x-signature=QROTk%2FO%2Bl8GRN%2FGckhq7SKJzz8I%3D,Actress manage by Glee Digital Instagram Facebook,130.3M,4.4M,565,"['https://www.tiktok.com/@samirakhanmahi/video/7165076100777790747', 'https://www.tiktok.com/@samirakhanmahi/video/7165052255803264282', 'https://www.tiktok.com/@samirakhanmahi/video/7164814934470135066', 'https://www.tiktok.com/@samirakhanmahi/video/7164715804951416090', 'https://www.tiktok.com/@samirakhanmahi/video/7164706158891257115', 'https://www.tiktok.com/@samirakhanmahi/video/7164453456793718043', 'https://www.tiktok.com/@samirakhanmahi/video/7164434184671333658', 'https://www.tiktok.com/@samirakhanmahi/video/7164303532307270939', 'https://www.tiktok.com/@samirakhanmahi/video/7164299895661169947', 'https://www.tiktok.com/@samirakhanmahi/video/7164297248937987355', 'https://www.tiktok.com/@samirakhanmahi/video/7163576938102000923', 'https://www.tiktok.com/@samirakhanmahi/video/7163575643542949147', 'https://www.tiktok.com/@samirakhanmahi/video/7163285903559904538', 'https://www.tiktok.com/@samirakhanmahi/video/7162964856637754650', 'https://www.tiktok.com/@samirakhanmahi/video/7162964593466281242', 'https://www.tiktok.com/@samirakhanmahi/video/7162905162598599962']",1734.94K
opuvai.official,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e7fedc3c0bb151ecf60c68d2eccc88e0~c5_100x100.jpeg?x-expires=1668445200&x-signature=orim8xdpgzd7q7ojXxeBjhjlZxQ%3D,Subscriber To My YouTube Channel Follow My Instagram id,204.2M,6.5M,0,"['https://www.tiktok.com/@opuvai.official/video/7165159831270198554', 'https://www.tiktok.com/@opuvai.official/video/7164966482395417882', 'https://www.tiktok.com/@opuvai.official/video/7164963063479700762', 'https://www.tiktok.com/@opuvai.official/video/7164728644911336730', 'https://www.tiktok.com/@opuvai.official/video/7164658648613014810', 'https://www.tiktok.com/@opuvai.official/video/7164554733338758427', 'https://www.tiktok.com/@opuvai.official/video/7164553488821767450', 'https://www.tiktok.com/@opuvai.official/video/7164228243824971034', 'https://www.tiktok.com/@opuvai.official/video/7163516050733059355', 'https://www.tiktok.com/@opuvai.official/video/7163515998220438810', 'https://www.tiktok.com/@opuvai.official/video/7163515930922781979', 'https://www.tiktok.com/@opuvai.official/video/7163515671484042523', 'https://www.tiktok.com/@opuvai.official/video/7163515534435274011', 'https://www.tiktok.com/@opuvai.official/video/7163515496506133786', 'https://www.tiktok.com/@opuvai.official/video/7163515454487547162', 'https://www.tiktok.com/@opuvai.official/video/7163515420387937562']",1140.81K
dip__08official_,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/88a0429d8ddbc5ede6ce4af3bab3f7e5~c5_100x100.jpeg?x-expires=1668445200&x-signature=byWtplD0y0CwesEgKi%2F2D9Iy1Qs%3D,Exclusively managed by glee Digital My Facebook I d link,213.8M,5.8M,79,"['https://www.tiktok.com/@dip__08official_/video/7165072012463885595', 'https://www.tiktok.com/@dip__08official_/video/7165053075705629979', 'https://www.tiktok.com/@dip__08official_/video/7165017161126137115', 'https://www.tiktok.com/@dip__08official_/video/7164752365432720666', 'https://www.tiktok.com/@dip__08official_/video/7164745190723423514', 'https://www.tiktok.com/@dip__08official_/video/7164725920467651867', 'https://www.tiktok.com/@dip__08official_/video/7164715119534968091', 'https://www.tiktok.com/@dip__08official_/video/7164670370086194459', 'https://www.tiktok.com/@dip__08official_/video/7164287106515307802', 'https://www.tiktok.com/@dip__08official_/video/7163981418253667611', 'https://www.tiktok.com/@dip__08official_/video/7163929854142844186', 'https://www.tiktok.com/@dip__08official_/video/7163895200597937434', 'https://www.tiktok.com/@dip__08official_/video/7163588666760105243', 'https://www.tiktok.com/@dip__08official_/video/7163535641467309338', 'https://www.tiktok.com/@dip__08official_/video/7163220495427669274', 'https://www.tiktok.com/@dip__08official_/video/7163178203748584730']",3497.12K
misschocolate67,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c0c9ac31c8a83c00243fe1f910ab21f7~c5_100x100.jpeg?x-expires=1668445200&x-signature=2wAAmw%2F2%2F%2FrS3FoShCmBbUh0AEE%3D,my real fb page,184.8M,5.9M,0,"['https://www.tiktok.com/@misschocolate67/video/7165162772144082203', 'https://www.tiktok.com/@misschocolate67/video/7165152975550205210', 'https://www.tiktok.com/@misschocolate67/video/7165147506576198938', 'https://www.tiktok.com/@misschocolate67/video/7165137286001069339', 'https://www.tiktok.com/@misschocolate67/video/7165130270998383898', 'https://www.tiktok.com/@misschocolate67/video/7165121679155268890', 'https://www.tiktok.com/@misschocolate67/video/7165099272558431514', 'https://www.tiktok.com/@misschocolate67/video/7165020284997651738', 'https://www.tiktok.com/@misschocolate67/video/7165000297796930842', 'https://www.tiktok.com/@misschocolate67/video/7164997672166788378', 'https://www.tiktok.com/@misschocolate67/video/7164997589828521243', 'https://www.tiktok.com/@misschocolate67/video/7164997404511472922', 'https://www.tiktok.com/@misschocolate67/video/7164781194264022299', 'https://www.tiktok.com/@misschocolate67/video/7164767665196748059', 'https://www.tiktok.com/@misschocolate67/video/7164766666608397595', 'https://www.tiktok.com/@misschocolate67/video/7164734912250006810']",2218.69K
jahan.ontora,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/6d285b85356c00b9fcafb2b951bb727f~c5_100x100.jpeg?x-expires=1668445200&x-signature=h2eVwJHPjm4RwdiFJLEF0BRTaUk%3D,Actress WORK HARD DREAM BIG Do Subscribe My YouTube Channel,81.1M,5M,48,"['https://www.tiktok.com/@jahan.ontora/video/7165110873168629019', 'https://www.tiktok.com/@jahan.ontora/video/7165043862971632922', 'https://www.tiktok.com/@jahan.ontora/video/7164683662619954459', 'https://www.tiktok.com/@jahan.ontora/video/7164629534107651354', 'https://www.tiktok.com/@jahan.ontora/video/7164264518556683546', 'https://www.tiktok.com/@jahan.ontora/video/7163970979960573210', 'https://www.tiktok.com/@jahan.ontora/video/7163636420119219482', 'https://www.tiktok.com/@jahan.ontora/video/7163250183390645531', 'https://www.tiktok.com/@jahan.ontora/video/7163229788486880538', 'https://www.tiktok.com/@jahan.ontora/video/7163150843586366746', 'https://www.tiktok.com/@jahan.ontora/video/7162832071470140698', 'https://www.tiktok.com/@jahan.ontora/video/7162538059110698267', 'https://www.tiktok.com/@jahan.ontora/video/7162454396796767514', 'https://www.tiktok.com/@jahan.ontora/video/7162421775769406746', 'https://www.tiktok.com/@jahan.ontora/video/7162403215529594138', 'https://www.tiktok.com/@jahan.ontora/video/7162157904605318426']",3363.12K
anamikaoyshe0008,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e847ebb2216928b933a697005ac71880~c5_100x100.jpeg?x-expires=1668445200&x-signature=3ZNd8Ags7AS%2FkGc15TBzYwG3%2BkI%3D,Actress A queen is not born She is made Instagram link,236.4M,7.1M,70,"['https://www.tiktok.com/@anamikaoyshe0008/video/7164823913652899098', 'https://www.tiktok.com/@anamikaoyshe0008/video/7164767701552991514', 'https://www.tiktok.com/@anamikaoyshe0008/video/7164426777585011994', 'https://www.tiktok.com/@anamikaoyshe0008/video/7164425553498377498', 'https://www.tiktok.com/@anamikaoyshe0008/video/7162944276442238235', 'https://www.tiktok.com/@anamikaoyshe0008/video/7162553648642379034', 'https://www.tiktok.com/@anamikaoyshe0008/video/7162553314742111515', 'https://www.tiktok.com/@anamikaoyshe0008/video/7162110139716078874', 'https://www.tiktok.com/@anamikaoyshe0008/video/7161700289559530778', 'https://www.tiktok.com/@anamikaoyshe0008/video/7161689263078149403', 'https://www.tiktok.com/@anamikaoyshe0008/video/7161688142301465882', 'https://www.tiktok.com/@anamikaoyshe0008/video/7161466860976852250', 'https://www.tiktok.com/@anamikaoyshe0008/video/7161353089109462298', 'https://www.tiktok.com/@anamikaoyshe0008/video/7161069830316100891', 'https://www.tiktok.com/@anamikaoyshe0008/video/7161029777619569946', 'https://www.tiktok.com/@anamikaoyshe0008/video/7161029155079998747']",2246.12K
